onset	duration	trial_type	value	sample
941.27734375	0.0	ROWE	6	240967
941.32421875	0.0	ROWS	7	240979
945.27734375	0.0	ROWE	6	241991
945.3359375	0.0	ROWS	7	242006
946.94140625	0.0	ROWE	6	242417
947.01171875	0.0	ROWS	7	242435
951.37890625	0.0	ROWE	6	243553
951.4453125	0.0	ROWS	7	243570
955.7109375	0.0	ROWE	6	244662
955.77734375	0.0	ROWS	7	244679
958.30859375	0.0	ROWE	6	245327
958.375	0.0	ROWS	7	245344
962.640625	0.0	ROWE	6	246436
962.69921875	0.0	ROWS	7	246451
966.91015625	0.0	ROWE	6	247529
966.96875	0.0	ROWS	7	247544
967.7421875	0.0	ROWE	6	247742
967.79296875	0.0	ROWS	7	247755
971.91015625	0.0	ROWE	6	248809
971.96484375	0.0	ROWS	7	248823
976.07421875	0.0	ROWE	6	249875
976.11328125	0.0	ROWS	7	249885
977.2734375	0.0	ROWE	6	250182
977.27734375	0.0	CH04	4	250183
981.92578125	0.0	ROWS	7	251373
982.29296875	0.0	ROWE	6	251467
982.32421875	0.0	ROWS	7	251475
986.125	0.0	ROWE	6	252448
986.1796875	0.0	ROWS	7	252462
988.20703125	0.0	ROWE	6	252981
988.26171875	0.0	ROWS	7	252995
992.44140625	0.0	ROWE	6	254065
992.5078125	0.0	ROWS	7	254082
996.7734375	0.0	ROWE	6	255174
996.84765625	0.0	ROWS	7	255193
1000.7734375	0.0	ROWE	6	256198
1000.84375	0.0	ROWS	7	256216
1005.109375	0.0	ROWE	6	257308
1005.1796875	0.0	ROWS	7	257326
1009.44140625	0.0	ROWE	6	258417
1009.5078125	0.0	ROWS	7	258434
1013.875	0.0	ROWE	6	259552
1013.94140625	0.0	ROWS	7	259569
1018.20703125	0.0	ROWE	6	260661
1018.2734375	0.0	ROWS	7	260678
1022.5390625	0.0	ROWE	6	261770
1022.60546875	0.0	ROWS	7	261787
1026.9765625	0.0	ROWE	6	262906
1027.03515625	0.0	ROWS	7	262921
1031.140625	0.0	ROWE	6	263972
1031.20703125	0.0	ROWS	7	263989
1034.609375	0.0	ROWE	6	264860
1034.671875	0.0	ROWS	7	264876
1038.94140625	0.0	ROWE	6	265969
1038.9921875	0.0	ROWS	7	265982
1042.95703125	0.0	ROWE	6	266997
1043.0078125	0.0	ROWS	7	267010
1043.375	0.0	ROWE	6	267104
1043.421875	0.0	ROWS	7	267116
1047.48828125	0.0	ROWE	6	268157
1047.54296875	0.0	ROWS	7	268171
1051.65625	0.0	ROWE	6	269224
1051.71484375	0.0	ROWS	7	269239
1053.7421875	0.0	ROWE	6	269758
1053.79296875	0.0	ROWS	7	269771
1057.90625	0.0	ROWE	6	270824
1057.953125	0.0	ROWS	7	270836
1061.90625	0.0	ROWE	6	271848
1061.95703125	0.0	ROWS	7	271861
1063.125	0.0	ROWE	6	272160
1063.1640625	0.0	ROWS	7	272170
1067.12109375	0.0	ROWE	6	273183
1067.17578125	0.0	ROWS	7	273197
1068.7890625	0.0	ROWE	6	273610
1068.84765625	0.0	ROWS	7	273625
1072.97265625	0.0	ROWE	6	274681
1073.0390625	0.0	ROWS	7	274698
1077.40625	0.0	ROWE	6	275816
1077.4765625	0.0	ROWS	7	275834
1081.73828125	0.0	ROWE	6	276925
1081.80859375	0.0	ROWS	7	276943
1086.07421875	0.0	ROWE	6	278035
1086.13671875	0.0	ROWS	7	278051
1090.5078125	0.0	ROWE	6	279170
1090.5703125	0.0	ROWS	7	279186
1093.44140625	0.0	ROWE	6	279921
1093.4921875	0.0	ROWS	7	279934
1097.60546875	0.0	ROWE	6	280987
1097.6640625	0.0	ROWS	7	281002
1100.5234375	0.0	ROWE	6	281734
1100.578125	0.0	ROWS	7	281748
1104.6875	0.0	ROWE	6	282800
1104.74609375	0.0	ROWS	7	282815
1108.4375	0.0	ROWE	6	283760
1108.50390625	0.0	ROWS	7	283777
1112.73828125	0.0	ROWE	6	284861
1112.80078125	0.0	ROWS	7	284877
1116.90625	0.0	ROWE	6	285928
1116.96875	0.0	ROWS	7	285944
1120.23828125	0.0	ROWE	6	286781
1120.2890625	0.0	ROWS	7	286794
1124.23828125	0.0	ROWE	6	287805
1124.2890625	0.0	ROWS	7	287818
1126.3203125	0.0	ROWE	6	288338
1126.37890625	0.0	ROWS	7	288353
1130.48828125	0.0	ROWE	6	289405
1130.53515625	0.0	ROWS	7	289417
1134.48828125	0.0	ROWE	6	290429
1134.53515625	0.0	ROWS	7	290441
1135.6875	0.0	ROWE	6	290736
1135.73828125	0.0	ROWS	7	290749
1139.85546875	0.0	ROWE	6	291803
1139.91796875	0.0	ROWS	7	291819
1144.2890625	0.0	ROWE	6	292938
1144.3515625	0.0	ROWS	7	292954
1148.1875	0.0	ROWE	6	293936
1148.25	0.0	ROWS	7	293952
1152.35546875	0.0	ROWE	6	295003
1152.421875	0.0	ROWS	7	295020
1156.6875	0.0	ROWE	6	296112
1156.7578125	0.0	ROWS	7	296130
1161.01953125	0.0	ROWE	6	297221
1161.09375	0.0	ROWS	7	297240
1165.46875	0.0	ROWE	6	298360
1165.5390625	0.0	ROWS	7	298378
1169.8046875	0.0	ROWE	6	299470
1169.87109375	0.0	ROWS	7	299487
1173.26953125	0.0	ROWE	6	300357
1173.34375	0.0	ROWS	7	300376
1177.72265625	0.0	ROWE	6	301497
1177.796875	0.0	ROWS	7	301516
1182.12109375	0.0	ROWE	6	302623
1182.19140625	0.0	ROWS	7	302641
1186.453125	0.0	ROWE	6	303732
1186.5234375	0.0	ROWS	7	303750
1190.78515625	0.0	ROWE	6	304841
1190.859375	0.0	ROWS	7	304860
1195.12109375	0.0	ROWE	6	305951
1195.19140625	0.0	ROWS	7	305969
1199.15234375	0.0	ROWE	6	306983
1199.22265625	0.0	ROWS	7	307001
1203.48828125	0.0	ROWE	6	308093
1203.55078125	0.0	ROWS	7	308109
1207.8203125	0.0	ROWE	6	309202
1207.88671875	0.0	ROWS	7	309219
1211.28515625	0.0	ROWE	6	310089
1211.3515625	0.0	ROWS	7	310106
1215.62109375	0.0	ROWE	6	311199
1215.6875	0.0	ROWS	7	311216
1220.0703125	0.0	ROWE	6	312338
1220.140625	0.0	ROWS	7	312356
1223.96875	0.0	ROWE	6	313336
1224.04296875	0.0	ROWS	7	313355
1228.3203125	0.0	ROWE	6	314450
1228.37890625	0.0	ROWS	7	314465
1232.484375	0.0	ROWE	6	315516
1232.5390625	0.0	ROWS	7	315530
1233.3203125	0.0	ROWE	6	315730
1233.35546875	0.0	ROWS	7	315739
1237.3203125	0.0	ROWE	6	316754
1237.37109375	0.0	ROWS	7	316767
1238.984375	0.0	ROWE	6	317180
1239.0390625	0.0	ROWS	7	317194
