onset	duration	trial_type	value	sample
1053.713	0.0	ROWS	11	1053713
1057.817	0.0	ROWE	10	1057817
1057.866	0.0	ROWS	11	1057866
1061.817	0.0	ROWE	10	1061817
1061.875	0.0	ROWS	11	1061875
1063.483	0.0	ROWE	10	1063483
1063.55	0.0	ROWS	11	1063550
1067.917	0.0	ROWE	10	1067917
1067.987	0.0	ROWS	11	1067987
1072.25	0.0	ROWE	10	1072250
1072.316	0.0	ROWS	11	1072316
1074.85	0.0	ROWE	10	1074850
1074.914	0.0	ROWS	11	1074914
1079.182	0.0	ROWE	10	1079182
1079.239	0.0	ROWS	11	1079239
1083.45	0.0	ROWE	10	1083450
1083.507	0.0	ROWS	11	1083507
1084.282	0.0	ROWE	10	1084282
1084.334	0.0	ROWS	11	1084334
1088.449	0.0	ROWE	10	1088449
1088.506	0.0	ROWS	11	1088506
1092.616	0.0	ROWE	10	1092616
1092.652	0.0	ROWS	11	1092652
1093.815	0.0	ROWE	10	1093815
1093.819	0.0	CH04	6	1093819
1098.466	0.0	ROWS	11	1098466
1098.832	0.0	ROWE	10	1098832
1098.865	0.0	ROWS	11	1098865
1102.666	0.0	ROWE	10	1102666
1102.719	0.0	ROWS	11	1102719
1104.748	0.0	ROWE	10	1104748
1104.802	0.0	ROWS	11	1104802
1108.982	0.0	ROWE	10	1108982
1109.046	0.0	ROWS	11	1109046
1113.315	0.0	ROWE	10	1113315
1113.386	0.0	ROWS	11	1113386
1117.315	0.0	ROWE	10	1117315
1117.384	0.0	ROWS	11	1117384
1121.649	0.0	ROWE	10	1121649
1121.719	0.0	ROWS	11	1121719
1125.982	0.0	ROWE	10	1125982
1126.046	0.0	ROWS	11	1126046
1130.414	0.0	ROWE	10	1130414
1130.483	0.0	ROWS	11	1130483
1134.748	0.0	ROWE	10	1134748
1134.813	0.0	ROWS	11	1134813
1139.081	0.0	ROWE	10	1139081
1139.146	0.0	ROWS	11	1139146
1143.515	0.0	ROWE	10	1143515
1143.576	0.0	ROWS	11	1143576
1147.681	0.0	ROWE	10	1147681
1147.746	0.0	ROWS	11	1147746
1151.148	0.0	ROWE	10	1151148
1151.212	0.0	ROWS	11	1151212
1155.481	0.0	ROWE	10	1155481
1155.531	0.0	ROWS	11	1155531
1159.498	0.0	ROWE	10	1159498
1159.548	0.0	ROWS	11	1159548
1159.914	0.0	ROWE	10	1159914
1159.96	0.0	ROWS	11	1159960
1164.03	0.0	ROWE	10	1164030
1164.084	0.0	ROWS	11	1164084
1168.197	0.0	ROWE	10	1168197
1168.254	0.0	ROWS	11	1168254
1170.281	0.0	ROWE	10	1170281
1170.333	0.0	ROWS	11	1170333
1174.447	0.0	ROWE	10	1174447
1174.495	0.0	ROWS	11	1174495
1178.447	0.0	ROWE	10	1178447
1178.497	0.0	ROWS	11	1178497
1179.664	0.0	ROWE	10	1179664
1179.703	0.0	ROWS	11	1179703
1183.663	0.0	ROWE	10	1183663
1183.716	0.0	ROWS	11	1183716
1185.33	0.0	ROWE	10	1185330
1185.386	0.0	ROWS	11	1185386
1189.514	0.0	ROWE	10	1189514
1189.581	0.0	ROWS	11	1189581
1193.947	0.0	ROWE	10	1193947
1194.015	0.0	ROWS	11	1194015
1198.279	0.0	ROWE	10	1198279
1198.35	0.0	ROWS	11	1198350
1202.613	0.0	ROWE	10	1202613
1202.678	0.0	ROWS	11	1202678
1207.046	0.0	ROWE	10	1207046
1207.11	0.0	ROWS	11	1207110
1209.98	0.0	ROWE	10	1209980
1210.033	0.0	ROWS	11	1210033
1214.146	0.0	ROWE	10	1214146
1214.203	0.0	ROWS	11	1214203
1217.062	0.0	ROWE	10	1217062
1217.119	0.0	ROWS	11	1217119
1221.229	0.0	ROWE	10	1221229
1221.288	0.0	ROWS	11	1221288
1224.979	0.0	ROWE	10	1224979
1225.043	0.0	ROWS	11	1225043
1229.279	0.0	ROWE	10	1229279
1229.34	0.0	ROWS	11	1229340
